"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name","dma2_name"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","BANGOR-ME"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","BINGHAMTON-NY"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","BURLINGTON-PLATTSBURGH-VT"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","CHARLESTON/HUNTINGTON-WV"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","COLUMBIA-SC"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","DAVENPORT-IA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","DULUTH-MN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","ELMIRA-NY"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","ERIE-PA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","EVANSVILLE-IN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","FORT WAYNE-IN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","JOHNSTOWN/ALTOONA-PA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","LANSING/JACKSON-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","LIMA-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","MARQUETTE-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","MERIDIAN-MS"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","PEORIA/BLOOMINGTON-IL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Non-Loyal KC","1_4","PORTLAND-ME"
